2026-05-06 13:35:49,747 | INFO | app | Fetched tasks for scheduling task type: notify_user.
2026-05-06 13:35:49,754 | INFO | app | Task with ID a8e1afb4-d875-4d3a-92e4-73d3d616f3bf updated its feilds: {'status': 'running'}
2026-05-06 13:35:49,754 | INFO | app | Fetching task with ID: a8e1afb4-d875-4d3a-92e4-73d3d616f3bf
2026-05-06 13:35:49,757 | INFO | app | Fetching task with ID: a8e1afb4-d875-4d3a-92e4-73d3d616f3bf
2026-05-06 13:35:49,764 | INFO | app | Task with ID a8e1afb4-d875-4d3a-92e4-73d3d616f3bf updated its feilds: {'status': 'completed'}
2026-05-06 13:37:29,763 | INFO | app | Fetched tasks for scheduling task type: notify_user.
2026-05-06 13:37:29,782 | INFO | app | Task with ID 798b65f2-e2a5-4087-ae63-13874b2262a1 updated its feilds: {'status': 'running'}
2026-05-06 13:37:29,783 | INFO | app | Fetching task with ID: 798b65f2-e2a5-4087-ae63-13874b2262a1
2026-05-06 13:37:29,794 | INFO | app | Fetching task with ID: 798b65f2-e2a5-4087-ae63-13874b2262a1
2026-05-06 13:37:29,815 | INFO | app | Task with ID 798b65f2-e2a5-4087-ae63-13874b2262a1 updated its feilds: {'status': 'completed'}
2026-05-06 13:39:09,789 | INFO | app | Fetched tasks for scheduling task type: notify_user.
2026-05-06 13:39:09,808 | INFO | app | Task with ID e576cd15-4ee0-4873-b576-9206940050dd updated its feilds: {'status': 'running'}
2026-05-06 13:39:09,808 | INFO | app | Fetching task with ID: e576cd15-4ee0-4873-b576-9206940050dd
2026-05-06 13:39:09,821 | INFO | app | Fetching task with ID: e576cd15-4ee0-4873-b576-9206940050dd
2026-05-06 13:39:09,845 | INFO | app | Task with ID e576cd15-4ee0-4873-b576-9206940050dd updated its feilds: {'status': 'completed'}
2026-05-06 13:39:23,716 | ERROR | app | Error in web_socket_endpoint:

2026-05-06 13:39:23,719 | ERROR | app | Error in web_socket_endpoint:

2026-05-06 13:39:23,721 | ERROR | app | Error in web_socket_endpoint:

2026-05-06 13:46:41,869 | INFO | app | Started notification Service...
2026-05-06 13:46:41,871 | INFO | app | Scheduler loop started with delay: 100 seconds
2026-05-06 13:46:41,876 | INFO | app | Fetched tasks for scheduling task type: notify_user.
2026-05-06 13:46:43,492 | INFO | app | Task with ID c0e6e863-c2a9-4060-94be-7b3ef09f5cb5 updated its feilds: {'status': 'running'}
2026-05-06 13:46:43,493 | INFO | app | Fetching task with ID: c0e6e863-c2a9-4060-94be-7b3ef09f5cb5
2026-05-06 13:46:43,501 | INFO | app | Fetching task with ID: c0e6e863-c2a9-4060-94be-7b3ef09f5cb5
2026-05-06 13:46:43,511 | INFO | app | Task with ID c0e6e863-c2a9-4060-94be-7b3ef09f5cb5 updated its feilds: {'status': 'completed'}
2026-05-06 13:48:22,044 | INFO | app | Fetched tasks for scheduling task type: notify_user.
2026-05-06 13:48:22,060 | INFO | app | Task with ID ac48952e-a0a8-44b6-93b4-6fc1a155b58b updated its feilds: {'status': 'running'}
